emailAddress,link,name,phone
mailto:reviews@pizzasnobo.com,https://www.yellowpages.com/new-york-ny/mip/famous-original-rays-pizza-459218516,,(212) 956-7297
mailto:info@danoinyc.com,https://www.yellowpages.com/new-york-ny/mip/da-noi-midtown-manhattan-533587405?lid=1001682503858,,(347) 955-0067
,https://www.yellowpages.com/new-york-ny/mip/belmora-pizza-restaurant-14370536,,(212) 935-2080
mailto:pastafina@customerstatus.com,https://www.yellowpages.com/new-york-ny/mip/pastafina-3043273,,(212) 867-4888
mailto:8thavenue@famousfamigliaonline.com,https://www.yellowpages.com/new-york-ny/mip/famous-famiglia-pizza-madison-6100403,,(212) 996-9797
,https://www.yellowpages.com/new-york-ny/mip/ninos-positano-473122618,,(212) 355-5540
,https://www.yellowpages.com/new-york-ny/mip/dominos-pizza-3337306,,(212) 222-2000
,https://www.yellowpages.com/new-york-ny/mip/pizzabolla-480928172,,(212) 586-2000
mailto:fryfryfry@hotmail.com,https://www.yellowpages.com/new-york-ny/mip/east-broadway-pizza-474815141,,(646) 756-4448
,https://www.yellowpages.com/new-york-ny/mip/la-corsa-456115738,,(212) 860-1133
,https://www.yellowpages.com/new-york-ny/mip/mj-pizza-4910149,,(212) 996-2866
mailto:nunvito85@gmail.com,https://www.yellowpages.com/new-york-ny/mip/mariella-pizza-6854898,,(212) 777-1220
,https://www.yellowpages.com/new-york-ny/mip/columbia-pizza-23169941,,(212) 228-9488
mailto:paradisepizzastratford@gmail.com,https://www.yellowpages.com/new-york-ny/mip/bravo-pizza-456318080,,(212) 523-0300
mailto:under82pizza@verizon.net,https://www.yellowpages.com/new-york-ny/mip/underground-pizza-462457393,,(212) 425-4442
mailto:care@seamless.com,https://www.yellowpages.com/new-york-ny/mip/patzeria-perfect-pizza-inc-1950354,,(212) 575-7646
mailto:info@breadfactorycafe56.com,https://www.yellowpages.com/new-york-ny/mip/mariella-pizza-16535514,,(212) 586-2221
mailto:araarp@aarp.org,https://www.yellowpages.com/new-york-ny/mip/pizza-shack-451911833,,(212) 477-3367
,https://www.yellowpages.com/new-york-ny/mip/the-imperial-pizzaria-466483988,,(212) 663-3222
,https://www.yellowpages.com/new-york-ny/mip/roccos-pizza-462964898,,(718) 721-3536
,https://www.yellowpages.com/new-york-ny/mip/steph-andys-pizza-plus-7282142,,(800) 643-5581
,https://www.yellowpages.com/new-york-ny/mip/new-york-pizza-suprema-474314527,,(212) 594-8939
,https://www.yellowpages.com/new-york-ny/mip/sal-carmines-pizza-507781712,,(212) 663-7651
mailto:contact@alibabaturkishcuisine.com,https://www.yellowpages.com/new-york-ny/mip/ali-baba-restaurant-467841933,,(212) 683-9206
mailto:info@numero28.com,https://www.yellowpages.com/new-york-ny/mip/numero-28-482510744,,(212) 463-9653
mailto:info@artichokepizza.com,https://www.yellowpages.com/new-york-ny/mip/artichoke-basilles-pizza-8020750,,(212) 228-2004
mailto:info@adriennespizzabarnyc.com,https://www.yellowpages.com/new-york-ny/mip/adriennes-pizzabar-481358332,,(212) 248-3838
mailto:info@greenwichvillagebistro.nyc,https://www.yellowpages.com/new-york-ny/mip/greenwich-village-bistro-11152040,,(212) 206-9777
mailto:giacomo_ortes@yahoo.com,https://www.yellowpages.com/jersey-city-nj/mip/vinnies-pizzeria-restaurant-780392?lid=1001849027660,,(201) 268-7553
mailto:adelmoussad58@gmail.com,https://www.yellowpages.com/hoboken-nj/mip/the-brick-fire-baked-pizza-495365568?lid=1001793364500,,(201) 942-0518
mailto:info@danoinyc.com,https://www.yellowpages.com/new-york-ny/mip/da-noi-midtown-manhattan-533587405?lid=1001682503858,Da Noi Midtown Manhattan,(347) 955-0067
mailto:luigi6981@gmail.com,https://www.yellowpages.com/new-york-ny/mip/east-village-pizza-4248797?lid=1001876481589,East Village Pizza,(212) 256-9954
